code,district,region
CZ0201,Benešov,Středočeský kraj
CZ0202,Beroun,Středočeský kraj
CZ0641,Blansko,Jihomoravský kraj
CZ0642,Brno-město,Jihomoravský kraj
CZ0643,Brno-venkov,Jihomoravský kraj
CZ0801,Bruntál,Moravskoslezský kraj
CZ0644,Břeclav,Jihomoravský kraj
CZ0511,Česká Lípa,Liberecký kraj
CZ0311,České Budějovice,Jihočeský kraj
CZ0312,Český Krumlov,Jihočeský kraj
CZ0421,Děčín,Ústecký kraj
CZ0321,Domažlice,Plzeňský kraj
CZ0802,Frýdek-Místek,Moravskoslezský kraj
CZ0631,Havlíčkův Brod,Kraj Vysočina
CZ0645,Hodonín,Jihomoravský kraj
CZ0521,Hradec Králové,Královéhradecký kraj
CZ0411,Cheb,Karlovarský kraj
CZ0422,Chomutov,Ústecký kraj
CZ0531,Chrudim,Pardubický kraj
CZ0512,Jablonec nad Nisou,Liberecký kraj
CZ0711,Jeseník,Olomoucký kraj
CZ0522,Jičín,Královéhradecký kraj
CZ0632,Jihlava,Kraj Vysočina
CZ0313,Jindřichův Hradec,Jihočeský kraj
CZ0412,Karlovy Vary,Karlovarský kraj
CZ0803,Karviná,Moravskoslezský kraj
CZ0203,Kladno,Středočeský kraj
CZ0322,Klatovy,Plzeňský kraj
CZ0204,Kolín,Středočeský kraj
CZ0721,Kroměříž,Zlínský kraj
CZ0205,Kutná Hora,Středočeský kraj
CZ0513,Liberec,Liberecký kraj
CZ0423,Litoměřice,Ústecký kraj
CZ0424,Louny,Ústecký kraj
CZ0206,Mělník,Středočeský kraj
CZ0207,Mladá Boleslav,Středočeský kraj
CZ0425,Most,Ústecký kraj
CZ0523,Náchod,Královéhradecký kraj
CZ0804,Nový Jičín,Moravskoslezský kraj
CZ0208,Nymburk,Středočeský kraj
CZ0712,Olomouc,Olomoucký kraj
CZ0805,Opava,Moravskoslezský kraj
CZ0806,Ostrava-město,Moravskoslezský kraj
CZ0532,Pardubice,Pardubický kraj
CZ0633,Pelhřimov,Kraj Vysočina
CZ0314,Písek,Jihočeský kraj
CZ0324,Plzeň-jih,Plzeňský kraj
CZ0323,Plzeň-město,Plzeňský kraj
CZ0325,Plzeň-sever,Plzeňský kraj
CZ0209,Praha-východ,Středočeský kraj
CZ020A,Praha-západ,Středočeský kraj
CZ0315,Prachatice,Jihočeský kraj
CZ0713,Prostějov,Olomoucký kraj
CZ0714,Přerov,Olomoucký kraj
CZ020B,Příbram,Středočeský kraj
CZ020C,Rakovník,Středočeský kraj
CZ0326,Rokycany,Plzeňský kraj
CZ0524,Rychnov nad Kněžnou,Královéhradecký kraj
CZ0514,Semily,Liberecký kraj
CZ0413,Sokolov,Karlovarský kraj
CZ0316,Strakonice,Jihočeský kraj
CZ0533,Svitavy,Pardubický kraj
CZ0715,Šumperk,Olomoucký kraj
CZ0317,Tábor,Jihočeský kraj
CZ0327,Tachov,Plzeňský kraj
CZ0426,Teplice,Ústecký kraj
CZ0525,Trutnov,Královéhradecký kraj
CZ0634,Třebíč,Kraj Vysočina
CZ0722,Uherské Hradiště,Zlínský kraj
CZ0427,Ústí nad Labem,Ústecký kraj
CZ0534,Ústí nad Orlicí,Pardubický kraj
CZ0723,Vsetín,Zlínský kraj
CZ0646,Vyškov,Jihomoravský kraj
CZ0724,Zlín,Zlínský kraj
CZ0647,Znojmo,Jihomoravský kraj
CZ0635,Žďár nad Sázavou,Kraj Vysočina
