district,population
Hlavní město Praha,1275406
Benešov,99323
Beroun,96624
Kladno,164493
Kolín,103894
Kutná Hora,75683
Mělník,109354
Mladá Boleslav,127592
Nymburk,101120
Praha-východ,188384
Praha-západ,151093
Příbram,114366
Rakovník,54898
České Budějovice,195533
Český Krumlov,60096
Jindřichův Hradec,89283
Písek,70769
Prachatice,50230
Strakonice,69773
Tábor,101363
Domažlice,54391
Klatovy,84614
Plzeň-město,188407
Plzeň-jih,68918
Plzeň-sever,80666
Rokycany,48770
Tachov,52941
Cheb,87958
Karlovy Vary,110052
Sokolov,85200
Děčín,126294
Chomutov,121480
Litoměřice,117582
Louny,85381
Most,106773
Teplice,124472
Ústí nad Labem,116916
Česká Lípa,101962
Jablonec nad Nisou,90171
Liberec ,173890
Semily,71547
Hradec Králové,162400
Jičín,78713
Náchod,107973
Rychnov nad Kněžnou,78424
Trutnov,115073
Chrudim,103746
Pardubice,172224
Svitavy,102866
Ústí nad Orlicí,135682
Kraj Vysočina,504025
Havlíčkův Brod,93692
Jihlava,112415
Pelhřimov,71571
Třebíč,109183
Žďár nad Sázavou,117164
Blansko,107912
Brno-město,379466
Brno-venkov,225514
Břeclav,114801
Hodonín,151096
Vyškov,92317
Znojmo,113462
Jeseník,36752
Olomouc,233588
Prostějov,107580
Přerov,126613
Šumperk,118397
Kroměříž,103445
Uherské Hradiště,139829
Vsetín,140171
Zlín,188987
Bruntál,89547
Frýdek-Místek,212347
Karviná,240319
Nový Jičín,149919
Opava,173753
Ostrava-město,312104
