date_id,date,year,month,month_name,day,day_of_week
1,01.01.2022,2022,1,January,1,Saturday
2,02.01.2022,2022,1,January,2,Sunday
3,03.01.2022,2022,1,January,3,Monday
4,04.01.2022,2022,1,January,4,Tuesday
5,05.01.2022,2022,1,January,5,Wednesday
6,06.01.2022,2022,1,January,6,Thursday
7,07.01.2022,2022,1,January,7,Friday
8,08.01.2022,2022,1,January,8,Saturday
9,09.01.2022,2022,1,January,9,Sunday
10,10.01.2022,2022,1,January,10,Monday
11,11.01.2022,2022,1,January,11,Tuesday
12,12.01.2022,2022,1,January,12,Wednesday
13,13.01.2022,2022,1,January,13,Thursday
14,18.03.2024,2024,3,March,18,Monday
15,19.03.2024,2024,3,March,19,Tuesday
16,20.03.2024,2024,3,March,20,Wednesday
17,21.03.2024,2024,3,March,21,Thursday
18,22.03.2024,2024,3,March,22,Friday
19,23.03.2024,2024,3,March,23,Saturday
20,24.03.2024,2024,3,March,24,Sunday
21,25.03.2024,2024,3,March,25,Monday
22,26.03.2024,2024,3,March,26,Tuesday
23,27.03.2024,2024,3,March,27,Wednesday
24,28.03.2024,2024,3,March,28,Thursday
25,29.03.2024,2024,3,March,29,Friday
26,30.03.2024,2024,3,March,30,Saturday
