date_ref,district_ref,total_cases,total_cured,total_deaths,increase_cases,percent_increase_cases
14,1,620044,624811,3989,2,0.0003
14,2,44697,44584,468,0,0.0
14,3,45870,46211,243,0,0.0
14,4,73687,73670,582,0,0.0
14,5,46684,46503,429,0,0.0
14,6,31510,31445,293,0,0.0
14,7,52961,53098,437,0,0.0
14,8,60964,60953,601,0,0.0
14,9,44497,44425,351,0,0.0
14,10,93481,94237,411,0,0.0
14,11,73763,74536,305,0,0.0
14,12,50287,50653,282,0,0.0
14,13,21453,21372,236,0,0.0
14,14,85624,86548,796,1,0.0012
14,15,23162,23070,250,0,0.0
14,16,39552,39396,438,1,0.0025
14,17,33232,33125,292,0,0.0
14,18,21464,21464,246,0,0.0
14,19,31736,31558,385,0,0.0
14,20,43080,42832,541,0,0.0
14,21,22403,22294,228,0,0.0
14,22,36018,36047,447,0,0.0
14,23,93161,93270,730,1,0.0011
14,24,32324,32165,318,0,0.0
14,25,36726,36578,315,0,0.0
14,26,23382,23235,284,0,0.0
14,27,20262,20187,293,2,0.0099
14,28,30356,30068,634,0,0.0
14,29,39097,39027,579,0,0.0
14,30,31771,31488,506,0,0.0
14,31,52775,52460,612,0,0.0
14,32,51184,50964,556,1,0.002
14,33,50757,50812,526,0,0.0
14,34,31901,31688,380,0,0.0
14,35,43653,43480,540,0,0.0
14,36,50729,50513,503,0,0.0
14,37,54661,54493,465,0,0.0
14,38,42260,42126,451,0,0.0
14,39,39919,39743,424,0,0.0
14,40,79021,79071,553,0,0.0
14,41,31707,31745,240,0,0.0
14,42,83430,83211,580,1,0.0012
14,43,35680,35552,325,0,0.0
14,44,49357,48911,577,0,0.0
14,45,39160,39014,287,0,0.0
14,46,50730,50569,601,0,0.0
14,47,48400,48304,409,0,0.0
14,48,83787,83891,664,0,0.0
14,49,46465,46345,440,0,0.0
14,50,64768,64579,525,0,0.0
14,51,40589,40684,428,1,0.0025
14,52,47869,47952,448,1,0.0021
14,53,30699,30659,280,1,0.0033
14,54,42298,42181,385,0,0.0
14,55,51357,51420,383,0,0.0
14,56,46826,46555,598,0,0.0
14,57,175448,175401,1459,2,0.0011
14,58,99921,99674,812,2,0.002
14,59,45856,45439,556,0,0.0
14,60,64672,64101,774,0,0.0
14,61,41706,41251,569,0,0.0
14,62,44629,44418,626,1,0.0022
14,63,12720,12590,183,0,0.0
14,64,107956,107579,1026,1,0.0009
14,65,48921,48663,427,1,0.002
14,66,56760,56650,507,0,0.0
14,67,51593,51315,474,0,0.0
14,68,46130,46113,525,1,0.0022
14,69,63820,63678,499,0,0.0
14,70,61532,61356,605,1,0.0016
14,71,93399,93005,826,1,0.0011
14,72,33438,33279,481,0,0.0
14,73,92372,92069,950,2,0.0022
14,74,101570,101188,1334,2,0.002
14,75,60431,60446,596,0,0.0
14,76,83078,83322,704,0,0.0
14,77,134888,134612,1494,0,0.0
15,1,620047,624816,3989,3,0.0005
15,2,44697,44584,468,0,0.0
15,3,45870,46211,243,0,0.0
15,4,73687,73671,582,0,0.0
15,5,46684,46503,429,0,0.0
15,6,31510,31445,293,0,0.0
15,7,52961,53098,437,0,0.0
15,8,60964,60953,601,0,0.0
15,9,44497,44425,351,0,0.0
15,10,93481,94237,411,0,0.0
15,11,73763,74536,305,0,0.0
15,12,50287,50653,282,0,0.0
15,13,21453,21372,236,0,0.0
15,14,85626,86548,796,2,0.0023
15,15,23162,23070,250,0,0.0
15,16,39552,39397,438,0,0.0
15,17,33232,33125,292,0,0.0
15,18,21464,21464,246,0,0.0
15,19,31736,31558,385,0,0.0
15,20,43080,42832,541,0,0.0
15,21,22404,22294,228,1,0.0045
15,22,36018,36047,447,0,0.0
15,23,93161,93270,730,0,0.0
15,24,32324,32165,318,0,0.0
15,25,36727,36579,315,1,0.0027
15,26,23382,23235,284,0,0.0
15,27,20262,20187,293,0,0.0
15,28,30356,30068,634,0,0.0
15,29,39097,39027,579,0,0.0
15,30,31771,31488,506,0,0.0
15,31,52775,52460,612,0,0.0
15,32,51184,50964,556,0,0.0
15,33,50757,50812,526,0,0.0
15,34,31901,31688,380,0,0.0
15,35,43654,43481,540,1,0.0023
15,36,50729,50513,503,0,0.0
15,37,54661,54494,465,0,0.0
15,38,42260,42126,451,0,0.0
15,39,39919,39743,424,0,0.0
15,40,79021,79071,553,0,0.0
15,41,31707,31745,240,0,0.0
15,42,83431,83211,580,1,0.0012
15,43,35680,35552,325,0,0.0
15,44,49357,48911,577,0,0.0
15,45,39160,39014,287,0,0.0
15,46,50730,50569,601,0,0.0
15,47,48400,48304,409,0,0.0
15,48,83787,83892,664,0,0.0
15,49,46465,46345,440,0,0.0
15,50,64768,64579,525,0,0.0
15,51,40589,40684,428,0,0.0
15,52,47869,47952,448,0,0.0
15,53,30699,30659,280,0,0.0
15,54,42298,42182,385,0,0.0
15,55,51357,51420,383,0,0.0
15,56,46826,46555,598,0,0.0
15,57,175448,175403,1459,0,0.0
15,58,99922,99674,812,1,0.001
15,59,45856,45440,556,0,0.0
15,60,64672,64101,774,0,0.0
15,61,41707,41251,569,1,0.0024
15,62,44629,44418,626,0,0.0
15,63,12720,12590,183,0,0.0
15,64,107956,107579,1026,0,0.0
15,65,48923,48663,427,2,0.0041
15,66,56760,56651,507,0,0.0
15,67,51593,51315,474,0,0.0
15,68,46130,46113,525,0,0.0
15,69,63820,63678,499,0,0.0
15,70,61533,61356,605,1,0.0016
15,71,93399,93005,826,0,0.0
15,72,33439,33280,481,1,0.003
15,73,92373,92070,950,1,0.0011
15,74,101570,101188,1334,0,0.0
15,75,60431,60446,596,0,0.0
15,76,83078,83322,704,0,0.0
15,77,134890,134612,1494,2,0.0015
16,1,620053,624817,3989,6,0.001
16,2,44697,44585,468,0,0.0
16,3,45870,46211,243,0,0.0
16,4,73688,73671,582,1,0.0014
16,5,46684,46503,429,0,0.0
16,6,31510,31445,293,0,0.0
16,7,52961,53098,437,0,0.0
16,8,60965,60953,601,1,0.0016
16,9,44497,44425,351,0,0.0
16,10,93481,94237,411,0,0.0
16,11,73763,74536,305,0,0.0
16,12,50287,50654,282,0,0.0
16,13,21453,21372,236,0,0.0
