date_ref,station_ref,district_ref,vaccine_ref,used_ampules,spoiled_ampules,administered_doses,invalid_doses
1,32,23,1,20,1,120,6
1,73,29,1,5,0,30,0
2,5,50,1,23,0,138,0
2,32,23,1,0,0,0,0
2,73,29,1,28,0,168,0
2,66,1,1,58,3,348,18
2,62,40,1,1,0,6,0
2,54,1,1,129,0,774,0
2,85,64,1,116,0,696,0
2,45,1,1,143,0,858,0
2,94,74,1,18,0,108,0
2,93,1,1,725,0,4350,0
2,15,77,1,21,1,126,6
3,65,32,1,64,0,384,0
3,76,31,1,13,0,78,0
3,73,29,1,105,0,630,0
3,15,77,1,44,3,264,18
3,118,23,1,138,0,828,0
3,32,23,1,0,0,0,0
3,42,77,1,32,0,192,0
3,79,77,1,4,0,24,0
3,92,77,1,4,0,24,0
3,96,22,1,1,0,6,0
3,49,22,1,53,0,318,0
3,20,19,1,82,0,492,0
3,63,18,1,54,4,324,24
3,122,10,1,48,0,288,0
3,88,10,1,31,1,186,6
3,43,8,1,181,0,1086,0
3,86,76,1,74,4,444,24
3,4,76,1,1,0,6,0
3,39,41,1,39,5,234,30
3,48,42,1,105,0,630,0
3,112,73,1,6,0,36,0
3,101,74,1,77,0,462,0
3,8,71,1,10,0,60,0
3,74,69,1,39,0,234,0
3,2,67,1,110,0,660,0
3,3,66,1,41,0,246,0
3,85,64,1,118,3,708,18
3,1,63,1,16,0,96,0
3,38,60,1,23,0,138,0
3,94,74,1,12,0,72,0
3,102,59,1,66,0,396,0
3,107,57,1,9,0,54,0
3,114,75,1,25,0,150,0
3,40,57,1,72,0,432,0
3,95,54,1,119,0,714,0
3,55,52,1,95,0,570,0
3,93,1,1,72,0,432,0
3,28,52,1,13,0,78,0
3,5,50,1,23,0,138,0
3,89,48,1,25,0,150,0
3,110,44,1,78,0,468,0
3,45,1,1,150,0,900,0
3,90,1,1,14,0,84,0
3,78,1,1,309,0,1854,0
3,66,1,1,59,0,354,0
3,54,1,1,124,0,744,0
4,79,77,1,3,0,18,0
4,90,1,1,10,0,60,0
4,63,18,1,63,0,378,0
4,39,41,1,42,5,252,30
4,86,76,1,69,1,414,6
4,74,69,1,36,0,216,0
4,122,10,1,36,0,216,0
4,20,19,1,58,0,348,0
4,65,32,1,54,0,324,0
4,33,1,1,18,0,108,0
4,48,42,1,156,0,936,0
4,110,44,1,66,0,396,0
4,89,48,1,29,0,174,0
4,32,23,1,80,0,480,0
4,94,74,1,1,0,6,0
4,3,66,1,42,0,252,0
4,118,23,1,166,0,996,0
4,96,22,1,76,0,456,0
4,2,67,1,78,0,468,0
4,117,28,1,28,0,168,0
4,15,77,1,44,0,264,0
4,49,22,1,32,0,192,0
4,73,29,1,122,0,732,0
4,24,30,1,69,0,414,0
4,45,1,1,163,0,978,0
4,66,1,1,57,0,342,0
4,76,31,1,10,0,60,0
4,85,64,1,99,4,594,24
4,22,77,1,2,0,12,0
4,38,60,1,33,0,198,0
4,114,75,1,27,4,162,24
4,43,8,1,144,3,864,18
4,67,53,1,22,0,132,0
4,102,59,1,62,0,372,0
4,8,71,1,12,0,72,0
4,26,74,1,6,0,36,0
4,54,1,1,131,0,786,0
4,92,77,1,5,0,30,0
4,55,52,1,101,0,606,0
4,95,54,1,109,0,654,0
4,88,10,1,58,4,348,24
4,40,57,1,87,0,522,0
4,112,73,1,6,0,36,0
4,5,50,1,46,0,276,0
4,28,52,1,9,3,54,18
4,69,56,1,185,0,1110,0
4,101,74,1,77,0,462,0
4,93,1,1,78,0,468,0
4,107,57,1,8,2,48,12
5,40,57,1,64,0,384,0
5,32,23,1,74,0,444,0
5,95,54,1,120,0,720,0
5,66,1,1,59,0,354,0
5,15,77,1,39,4,234,24
5,117,28,1,27,0,162,0
5,118,23,1,146,0,876,0
5,67,53,1,17,0,102,0
5,107,57,1,8,2,48,12
5,101,74,1,76,1,456,6
5,4,76,1,9,0,54,0
5,38,60,1,32,0,192,0
5,89,48,1,26,0,156,0
5,5,50,1,31,0,186,0
5,3,66,1,44,0,264,0
5,1,63,1,16,0,96,0
5,48,42,1,108,0,648,0
5,28,52,1,8,5,48,30
5,71,41,1,9,4,54,24
5,39,41,1,27,2,162,12
5,86,76,1,67,1,402,6
5,102,59,1,60,0,360,0
5,54,1,1,124,0,744,0
5,65,32,1,55,0,330,0
5,55,52,1,89,0,534,0
5,76,31,1,12,0,72,0
5,85,64,1,95,0,570,0
5,110,44,1,62,0,372,0
5,73,29,1,148,0,888,0
5,122,10,1,35,0,210,0
5,93,1,1,63,0,378,0
5,49,22,1,22,3,132,18
5,43,8,1,166,5,996,30
5,74,69,1,45,0,270,0
