district_id,district_code
1,CZ0100
2,CZ0201
3,CZ0202
4,CZ0203
5,CZ0204
6,CZ0205
7,CZ0206
8,CZ0207
9,CZ0208
10,CZ0209
11,CZ020A
12,CZ020B
13,CZ020C
14,CZ0311
15,CZ0312
16,CZ0313
17,CZ0314
18,CZ0315
19,CZ0316
20,CZ0317
21,CZ0321
22,CZ0322
23,CZ0323
24,CZ0324
25,CZ0325
26,CZ0326
27,CZ0327
28,CZ0411
29,CZ0412
30,CZ0413
31,CZ0421
32,CZ0422
33,CZ0423
34,CZ0424
35,CZ0425
36,CZ0426
37,CZ0427
38,CZ0511
39,CZ0512
40,CZ0513
41,CZ0514
42,CZ0521
43,CZ0522
44,CZ0523
45,CZ0524
46,CZ0525
47,CZ0531
48,CZ0532
49,CZ0533
50,CZ0534
51,CZ0631
52,CZ0632
53,CZ0633
54,CZ0634
55,CZ0635
56,CZ0641
57,CZ0642
58,CZ0643
59,CZ0644
60,CZ0645
61,CZ0646
62,CZ0647
63,CZ0711
64,CZ0712
65,CZ0713
66,CZ0714
67,CZ0715
68,CZ0721
69,CZ0722
70,CZ0723
71,CZ0724
72,CZ0801
73,CZ0802
74,CZ0803
75,CZ0804
76,CZ0805
77,CZ0806
